dataset,operation,n_rows,n_cols,test_size,random_state,default_train_accuracy,default_test_accuracy,tpot_train_accuracy,topt_test_accuracy,default_time,tpot_time
analcatdata_asbestos,classification,83,3,0.2,2402854356,0.9696969696969697,0.7647058823529411,0.8787878787878788,0.6470588235294118,0.19835305213928223,27.519248008728027
analcatdata_authorship,classification,841,70,0.2,696473864,1.0,0.9822485207100592,1.0,0.9881656804733728,0.39238548278808594,66.21459650993347
analcatdata_bankruptcy,classification,50,6,0.2,1194868260,1.0,0.8,0.95,0.8,0.1976315975189209,25.531354665756226
analcatdata_boxing1,classification,120,3,0.2,2778206437,1.0,0.7083333333333334,0.9479166666666666,0.8333333333333334,0.20200634002685547,25.145846366882324
analcatdata_boxing2,classification,132,3,0.2,2186707448,1.0,0.6296296296296297,0.7619047619047619,0.6666666666666666,0.20247888565063477,28.68334436416626
analcatdata_creditscore,classification,100,6,0.2,3648123459,1.0,1.0,0.9875,1.0,0.19843244552612305,28.159630298614502
analcatdata_cyyoung8092,classification,97,10,0.2,2095900759,1.0,0.8,0.935064935064935,0.8,0.2043919563293457,29.340144872665405
analcatdata_cyyoung9302,classification,92,10,0.2,2644108969,1.0,0.9473684210526315,0.958904109589041,0.9473684210526315,0.20435571670532227,27.906847953796387
analcatdata_dmft,classification,797,4,0.2,2796994236,0.5243328100470958,0.15625,0.32653061224489793,0.2375,0.2668116092681885,31.89498472213745
analcatdata_fraud,classification,42,11,0.2,3031236776,1.0,0.7777777777777778,0.8484848484848485,0.7777777777777778,0.19681406021118164,25.158869743347168
analcatdata_germangss,classification,400,5,0.2,2622668585,0.9,0.1875,0.5875,0.4125,0.240614652633667,30.41087770462036
analcatdata_happiness,classification,60,3,0.2,3383171351,0.9791666666666666,0.16666666666666666,0.7083333333333334,0.3333333333333333,0.20012116432189941,27.58161211013794
analcatdata_japansolvent,classification,52,9,0.2,2740535441,1.0,0.9090909090909091,0.926829268292683,1.0,0.19803285598754883,30.026698112487793
analcatdata_lawsuit,classification,264,4,0.2,859463783,1.0,0.9622641509433962,0.990521327014218,1.0,0.20377016067504883,29.547762632369995
ann_thyroid,classification,7200,21,0.2,112960250,1.0,0.9965277777777778,0.9991319444444444,0.9979166666666667,0.5712802410125732,67.51933479309082
appendicitis,classification,106,7,0.2,3031211151,1.0,0.9090909090909091,0.9047619047619048,0.9090909090909091,0.20257353782653809,27.324859857559204
backache,classification,180,32,0.2,2703359078,1.0,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.2124464511871338,30.13445234298706
balance_scale,classification,625,4,0.2,3048968774,1.0,0.784,0.92,0.824,0.23229503631591797,29.982113122940063
biomed,classification,209,8,0.2,168822111,1.0,0.8333333333333334,0.9940119760479041,0.7857142857142857,0.21434855461120605,30.91535472869873
breast_cancer,classification,286,9,0.2,1167347487,0.9824561403508771,0.6896551724137931,0.7675438596491229,0.7413793103448276,0.22053742408752441,29.60531234741211
bupa,classification,345,5,0.2,3837773467,1.0,0.5652173913043478,0.8405797101449275,0.6376811594202898,0.2442493438720703,29.5471293926239
calendarDOW,classification,399,32,0.2,3204055813,0.9686520376175548,0.5875,0.9655172413793104,0.575,0.2551846504211426,39.93399930000305
car_evaluation,classification,1728,6,0.2,703045212,1.0,0.9884393063583815,0.9985528219971056,0.9884393063583815,0.2723398208618164,35.60686540603638
cars,classification,392,8,0.2,2388749222,1.0,0.9367088607594937,0.9840255591054313,0.9620253164556962,0.23258280754089355,31.148444890975952
chess,classification,3196,36,0.2,1067763476,1.0,0.984375,0.9980438184663537,0.996875,0.3853912353515625,52.10146880149841
churn,classification,5000,20,0.2,3224555261,0.99975,0.966,0.9775,0.962,1.7934794425964355,70.37959694862366
clean1,classification,476,168,0.2,1271767031,1.0,0.9895833333333334,1.0,1.0,0.44804859161376953,66.60969519615173
clean2,classification,6598,168,0.2,2538774309,1.0,1.0,1.0,1.0,3.0945348739624023,121.1745777130127
cloud,classification,108,7,0.2,3320042402,1.0,0.5454545454545454,0.813953488372093,0.5454545454545454,0.21156740188598633,31.017316579818726
coil2000,classification,9822,85,0.2,1216236905,0.9896907216494846,0.9267175572519084,0.9408171057655593,0.9384223918575063,1.8013319969177246,71.2270016670227
collins,classification,485,23,0.2,2652799971,1.0,0.9896907216494846,1.0,1.0,0.3325343132019043,55.246798276901245
confidence,classification,72,3,0.2,1745211203,1.0,0.8,0.9298245614035088,0.8,0.19919085502624512,26.191916465759277
connect_4,classification,67557,42,0.2,1393379688,1.0,0.8154973357015985,0.960847441946526,0.816607460035524,10.305868148803711,165.3651134967804
corral,classification,160,6,0.2,3014023144,1.0,1.0,0.96875,0.90625,0.1993710994720459,27.240836143493652
dermatology,classification,366,34,0.2,557584897,1.0,0.972972972972973,0.9931506849315068,0.9594594594594594,0.22069525718688965,32.33338165283203
dis,classification,3772,29,0.2,3058608840,0.9996685449121644,0.9960264900662251,0.9933708982432881,0.9894039735099338,0.4113187789916992,64.65289235115051
dna,classification,3186,180,0.2,2300876012,0.999607535321821,0.9435736677115988,0.9858712715855573,0.945141065830721,0.7177107334136963,83.35073471069336
ecoli,classification,327,7,0.2,1489705074,1.0,0.8636363636363636,0.9540229885057471,0.8636363636363636,0.22804021835327148,32.66885018348694
fars,classification,100968,29,0.2,89204829,0.9721445019436947,0.7764187382390809,0.8315547081981826,0.7973160344656829,15.70257043838501,340.1539433002472
flags,classification,178,43,0.2,1624850882,0.9788732394366197,0.4722222222222222,0.7394366197183099,0.4444444444444444,0.21827268600463867,33.19853329658508
glass2,classification,163,9,0.2,2557158305,1.0,0.8484848484848485,0.9538461538461539,0.7878787878787878,0.21750450134277344,29.484132766723633
haberman,classification,306,3,0.2,187781305,0.9918032786885246,0.6935483870967742,0.7663934426229508,0.7580645161290323,0.21696925163269043,28.472845554351807
hayes_roth,classification,160,4,0.2,2715434800,0.9296875,0.78125,0.890625,0.78125,0.20479440689086914,27.887412309646606
hepatitis,classification,155,19,0.2,2633742687,1.0,0.8387096774193549,0.8629032258064516,0.8064516129032258,0.20825433731079102,28.022542715072632
hypothyroid,classification,3163,25,0.2,3413083039,0.999604743083004,0.9747235387045814,0.990909090909091,0.976303317535545,0.39848828315734863,58.73811316490173
ionosphere,classification,351,34,0.2,481194721,1.0,0.9295774647887324,0.9607142857142857,0.9154929577464789,0.30980539321899414,61.48802661895752
iris,classification,150,4,0.2,3757786348,1.0,0.9333333333333333,0.9833333333333333,0.9666666666666667,0.20040655136108398,27.077746629714966
irish,classification,500,5,0.2,4129309927,1.0,1.0,1.0,1.0,0.2160348892211914,29.055885791778564
kddcup,classification,494020,41,0.2,3553774032,1.0,0.9997773369499211,0.9993294805878304,0.9993117687543015,40.70573830604553,660.5800082683563
kr_vs_kp,classification,3196,36,0.2,4019971213,1.0,0.990625,0.9964788732394366,0.9953125,0.39292287826538086,54.19855976104736
krkopt,classification,28056,6,0.2,2703708090,1.0,0.8234141126158232,0.9168597397968277,0.7583749109052031,3.5106263160705566,79.33341979980469
labor,classification,57,16,0.2,481495323,1.0,1.0,0.9333333333333333,1.0,0.19620442390441895,27.22825574874878
led24,classification,3200,24,0.2,3236039509,1.0,0.7171875,0.76640625,0.71875,0.5919473171234131,65.00791215896606
led7,classification,3200,7,0.2,1519368942,0.75625,0.7359375,0.748828125,0.7484375,0.3061234951019287,36.685657262802124
letter,classification,20000,16,0.2,2639381350,1.0,0.9685,0.9841875,0.9435,3.4773151874542236,99.32958984375
lupus,classification,87,3,0.2,1494622784,1.0,0.6111111111111112,0.927536231884058,0.6666666666666666,0.20197439193725586,26.892385959625244
lymphography,classification,148,18,0.2,33877970,1.0,0.8666666666666667,0.864406779661017,0.7666666666666667,0.2058262825012207,25.86319351196289
magic,classification,19020,10,0.2,4012456310,1.0,0.8782860147213459,0.9566246056782335,0.8746056782334385,11.910596132278442,318.40195751190186
mfeat_factors,classification,2000,216,0.2,1978669173,1.0,0.9575,0.9875,0.9575,1.7731850147247314,228.2072150707245
mfeat_fourier,classification,2000,76,0.2,1116729943,1.0,0.8225,0.979375,0.8275,2.113372802734375,106.85293984413147
mfeat_karhunen,classification,2000,64,0.2,3929683180,1.0,0.9575,0.964375,0.915,2.0134854316711426,165.41919612884521
